"uuid","eccentricity_deg","critical_spacing_deg","correctRate","crowdingSession"
"8e03863e-f52f-4a8e-9aef-3489ec880383",4,1,0.92,1
"8e03863e-f52f-4a8e-9aef-3489ec880383",4,1.3,0.92,2
"84e21902-019e-46ac-8182-24df861563b9",6,1,0.96,1
"84e21902-019e-46ac-8182-24df861563b9",6,2.92,0.84,2
"25c4112f-36e0-446a-9695-8c0c59f2300b",4,1.3,0.88,1
"25c4112f-36e0-446a-9695-8c0c59f2300b",4,1.37,0.88,2
"71a1e36c-cf8d-4047-927f-00998b215a92",4,1.3,0.96,1
"71a1e36c-cf8d-4047-927f-00998b215a92",4,1,0.96,2
"52b97759-dccb-4a5d-a8e8-1ff43860c578",4,1,0.88,1
"52b97759-dccb-4a5d-a8e8-1ff43860c578",4,1.48,0.84,2
"901da392-7a09-4706-bee5-48ff9eb9198a",4,1.69,0.88,1
"901da392-7a09-4706-bee5-48ff9eb9198a",6,2.5,0.88,2
"2a6ee495-04b5-4fe2-a06a-7162d11f3428",6,2.66,0.88,1
"2a6ee495-04b5-4fe2-a06a-7162d11f3428",6,1.69,0.92,2
"67568eff-d48a-48a9-a60c-8cbaacc80d16",4,1.43,0.88,1
"67568eff-d48a-48a9-a60c-8cbaacc80d16",4,1.82,0.76,2
"db507983-f613-472b-a5bd-8acb8bb651a4",6,1.83,0.92,1
"db507983-f613-472b-a5bd-8acb8bb651a4",6,1.19,0.92,2
"db2cb2e4-edb2-4a77-8245-998edc46e5b2",6,1.58,0.92,1
"db2cb2e4-edb2-4a77-8245-998edc46e5b2",6,1.13,0.92,2
"8f001ab1-7424-4426-afdb-3b409998000e",4,1.1,0.92,1
"8f001ab1-7424-4426-afdb-3b409998000e",4,1.58,0.88,2
"80d34e96-4d0e-4dc6-a684-094f48c8a55a",4,1.1,0.88,1
"80d34e96-4d0e-4dc6-a684-094f48c8a55a",4,1,0.96,2
"8f856f69-e232-441b-a02e-fc21a33c0408",4,1.69,0.92,1
"8f856f69-e232-441b-a02e-fc21a33c0408",4,1,0.92,2
"c0780a69-fce7-4c87-9ed9-2ec6c3ee24c4",4,1.43,0.88,1
"c0780a69-fce7-4c87-9ed9-2ec6c3ee24c4",4,1.1,0.92,2
"adfb6a66-dd66-4586-8a3a-b34b7cb59aa9",6,4.43,0.8,1
"adfb6a66-dd66-4586-8a3a-b34b7cb59aa9",6,2.17,0.88,2
"e2d6226b-d75b-4d76-8482-484ad5699488",6,3.41,0.8,1
"e2d6226b-d75b-4d76-8482-484ad5699488",4,1.86,0.84,2
"eecc0b6e-83e8-461c-aea9-96437aa591ef",6,4.99,0.8,1
"eecc0b6e-83e8-461c-aea9-96437aa591ef",4,1.73,0.88,2
"dd81f54e-1f99-48e1-856b-8e6ffa605d37",4,1.1,0.92,1
"dd81f54e-1f99-48e1-856b-8e6ffa605d37",4,1.61,0.88,2
"d144119c-5100-4452-8303-b9fd265e0f12",4,3,0.72,1
"d144119c-5100-4452-8303-b9fd265e0f12",4,3,0.44,2
"24729c1d-51ad-4b06-a030-d285e24ebce0",4,1,1,1
"24729c1d-51ad-4b06-a030-d285e24ebce0",4,1.73,0.88,2
"0e1d513b-d2c4-4375-bf83-2414cf6d9cc2",6,1.59,0.92,1
"0e1d513b-d2c4-4375-bf83-2414cf6d9cc2",4,1.15,0.92,2
"0ce863ed-ae80-4601-864f-0f527ba461e6",4,1.1,0.92,1
"0ce863ed-ae80-4601-864f-0f527ba461e6",4,1,0.96,2
"f6b201c8-60fc-452a-9a95-57585c41ac84",4,1.73,0.88,1
"f6b201c8-60fc-452a-9a95-57585c41ac84",4,1.91,0.88,2
"32c89b30-063c-4aa4-ae5a-8f6237995faf",4,1.1,0.92,1
"32c89b30-063c-4aa4-ae5a-8f6237995faf",6,2.64,0.84,2
"88c32dc5-95c2-4b22-8d42-feeeded668f7",4,1.43,0.88,1
"88c32dc5-95c2-4b22-8d42-feeeded668f7",4,1.3,0.88,2
"ff79820a-9a58-47bd-8a3c-b48e17e13020",4,1.82,0.88,1
"ff79820a-9a58-47bd-8a3c-b48e17e13020",4,1.07,0.96,2
"885db1f7-28a3-4919-8191-34ba465305ea",4,2.79,0.84,1
"885db1f7-28a3-4919-8191-34ba465305ea",4,2.19,0.88,2
"882a12a6-9a80-4817-9fa5-47110ac3685a",6,2.62,0.84,1
"882a12a6-9a80-4817-9fa5-47110ac3685a",4,1.58,0.88,2
"14a1bc40-8e42-45e0-9104-47d865bcef1d",4,1.78,0.88,1
"14a1bc40-8e42-45e0-9104-47d865bcef1d",4,1.69,0.88,2
"b8dd8642-a372-4339-9376-8a07205b9f5b",4,1.58,0.88,1
"b8dd8642-a372-4339-9376-8a07205b9f5b",6,1.27,0.88,2
"12fbaad2-e386-4b2e-bae8-95971dbceb0b",4,1.1,0.88,1
"12fbaad2-e386-4b2e-bae8-95971dbceb0b",4,1.1,0.92,2
"bbee09fc-d680-4b1a-9bf5-79f9b2f89607",4,1.3,0.92,1
"bbee09fc-d680-4b1a-9bf5-79f9b2f89607",4,1.3,0.92,2
"fbb46d2a-4b45-4124-8687-3cbcf4cddf32",4,1.4,0.88,1
"fbb46d2a-4b45-4124-8687-3cbcf4cddf32",4,1.07,0.92,2
"cfa4ad65-5013-440d-9505-afca368ff112",4,1,0.92,1
"cfa4ad65-5013-440d-9505-afca368ff112",4,1,0.96,2
"2bbbfe56-437a-4f29-a308-19ada1cbe6d0",4,1.24,0.92,1
"2bbbfe56-437a-4f29-a308-19ada1cbe6d0",6,1.69,0.92,2
"39acf276-62b4-49fe-95f3-171504ae66ed",4,1.69,0.88,1
"39acf276-62b4-49fe-95f3-171504ae66ed",4,1.1,0.88,2
"6cbc8c01-4a5d-490e-a5bd-b494877936c9",6,2.15,0.88,1
"6cbc8c01-4a5d-490e-a5bd-b494877936c9",6,2.36,0.84,2
"15c03128-3d0a-4c54-8e24-1f5da32dba43",6,4.09,0.68,1
"15c03128-3d0a-4c54-8e24-1f5da32dba43",6,1.86,0.84,2
"3eaba56c-8e85-448d-bb17-10fdbf09a907",4,1.58,0.88,1
"3eaba56c-8e85-448d-bb17-10fdbf09a907",4,1.3,0.92,2
"07cfdbd7-0ba7-470a-90dc-65aba5a57a8e",4,1.5,0.88,1
"07cfdbd7-0ba7-470a-90dc-65aba5a57a8e",4,1.73,0.84,2
"8b30ca4a-2a08-482c-b243-caecfbe3b07d",4,1.91,0.88,1
"8b30ca4a-2a08-482c-b243-caecfbe3b07d",4,1.18,0.92,2
"4d7ecd8c-e2eb-436f-b779-5f37ccff3970",4,2.91,0.64,1
"4d7ecd8c-e2eb-436f-b779-5f37ccff3970",4,2.91,0.64,2
"6fd4f084-12aa-4e91-8f83-e5d0e8e26d94",4,1.07,0.92,1
"6fd4f084-12aa-4e91-8f83-e5d0e8e26d94",4,1.3,0.92,2
"dd01552f-f97b-4636-9400-afae461669dc",4,1.91,0.88,1
"dd01552f-f97b-4636-9400-afae461669dc",6,1.83,0.92,2
"450c3a06-729f-4f7a-918a-61f0341a0c1b",6,2.53,0.88,1
"450c3a06-729f-4f7a-918a-61f0341a0c1b",4,1.5,0.84,2
"6b109b61-2962-4327-ba31-8e55ceb9007e",4,1.3,0.88,1
"6b109b61-2962-4327-ba31-8e55ceb9007e",4,1.74,0.88,2
"1811d0bd-8ebb-4070-be26-8f3eb69573a4",4,1.37,0.84,1
"1811d0bd-8ebb-4070-be26-8f3eb69573a4",4,2.48,0.8,2
"a9bd834f-d0a0-48d1-b3c6-ff7aae509c24",6,1.83,0.92,1
"a9bd834f-d0a0-48d1-b3c6-ff7aae509c24",6,2.88,0.88,2
"69458760-a518-4375-9614-b5b5638ce5a3",4,1.7,0.88,1
"69458760-a518-4375-9614-b5b5638ce5a3",4,2.44,0.84,2
"80fb0cec-7228-46ac-b254-8b47375cf5eb",4,1.5,0.92,1
"80fb0cec-7228-46ac-b254-8b47375cf5eb",4,1.3,0.92,2
"c6e1a960-30c7-495c-96db-2c2184c704a4",4,1.1,0.92,1
"c6e1a960-30c7-495c-96db-2c2184c704a4",4,1.1,0.92,2
"e60cbf10-1201-4717-b689-9336a47bee67",4,1.69,0.88,1
"e60cbf10-1201-4717-b689-9336a47bee67",4,1,0.96,2
"b92b88a8-82a8-46e5-adff-eecd2dee7add",4,1.77,0.8,1
"b92b88a8-82a8-46e5-adff-eecd2dee7add",4,2.14,0.64,2
"cd294ec9-0235-4654-b3d3-bebef00355d9",6,1.83,0.92,1
"cd294ec9-0235-4654-b3d3-bebef00355d9",4,1,0.96,2
"3ed8acd5-9613-4da3-8b7a-8a44e6c1dfcc",4,1.5,0.84,1
"3ed8acd5-9613-4da3-8b7a-8a44e6c1dfcc",4,1.3,0.92,2
"509e52f6-581c-4506-989c-03f5dd2037a8",6,3.97,0.8,1
"509e52f6-581c-4506-989c-03f5dd2037a8",4,1.69,0.88,2
"8f55a017-b21f-4b75-ad6d-6c028093319f",4,1,0.84,1
"8f55a017-b21f-4b75-ad6d-6c028093319f",4,1.3,0.92,2
"c888d2b8-22a6-4878-828d-001c695c2f2e",6,3.06,0.84,1
"c888d2b8-22a6-4878-828d-001c695c2f2e",4,1.43,0.88,2
"8dc7030c-75a7-4ac7-b367-607246a7ea57",4,1.1,0.92,1
"8dc7030c-75a7-4ac7-b367-607246a7ea57",6,3.75,0.84,2
"5ec4247d-5d16-4b76-b9d3-75906446304d",4,1.07,0.96,1
"5ec4247d-5d16-4b76-b9d3-75906446304d",4,1.3,0.92,2
"68c0a2b7-fbf7-4026-8221-1e50922a42c9",4,1.81,0.88,1
"68c0a2b7-fbf7-4026-8221-1e50922a42c9",4,2.05,0.84,2
"842fe54e-5ecf-45a8-b223-c5fb00d42108",4,1.3,0.92,1
"842fe54e-5ecf-45a8-b223-c5fb00d42108",4,1.1,0.88,2
"bfd9cd0c-cec0-47cd-b38a-f71b74af52bd",6,3.75,0.84,1
"bfd9cd0c-cec0-47cd-b38a-f71b74af52bd",4,2.1,0.84,2
"57e90896-5927-4033-a191-ec110982fd9a",6,3.19,0.76,1
"57e90896-5927-4033-a191-ec110982fd9a",6,2.9,0.84,2
"ec505e23-adee-4efc-8af3-b0f7946bed2d",6,2.84,0.88,1
"ec505e23-adee-4efc-8af3-b0f7946bed2d",4,1,1,2
"4f2289a5-f8fc-4a31-a5f0-376054343c9c",4,1,0.96,1
"4f2289a5-f8fc-4a31-a5f0-376054343c9c",4,1.55,0.84,2
