"uuid","viewDistance","px2mm","cardWidthPx"
"003be78b-1e70-40d6-bfc0-04152695bb9e",60.552,5.15,441
"003be78b-1e70-40d6-bfc0-04152695bb9e",60.014,5.15,441
"003be78b-1e70-40d6-bfc0-04152695bb9e",61.076,5.15,441
"005db471-8ddd-4358-b359-1863869a01eb",53.929,4.42,378
"005db471-8ddd-4358-b359-1863869a01eb",51.278,4.42,378
"005db471-8ddd-4358-b359-1863869a01eb",54.593,4.42,378
"007bbc8a-c4c9-4f0c-aef9-4b9e89f3ffee",40.348,4.52,387
"007bbc8a-c4c9-4f0c-aef9-4b9e89f3ffee",39.512,4.52,387
"007bbc8a-c4c9-4f0c-aef9-4b9e89f3ffee",43.477,4.52,387
"00a013b3-9e17-4a7c-bbfb-281de9eec54f",50.212,3.89,333
"00a013b3-9e17-4a7c-bbfb-281de9eec54f",49.783,3.89,333
"00a013b3-9e17-4a7c-bbfb-281de9eec54f",49.723,3.89,333
"00f97103-6435-4a63-84a7-74bbf3f983ae",49.765,5.15,441
"00f97103-6435-4a63-84a7-74bbf3f983ae",48.956,5.15,441
"00f97103-6435-4a63-84a7-74bbf3f983ae",50.247,5.15,441
"0172d15d-c5cd-481f-814d-d1cdada6a85a",59.109,4.1,351
"0172d15d-c5cd-481f-814d-d1cdada6a85a",58.486,4.1,351
"0172d15d-c5cd-481f-814d-d1cdada6a85a",62.854,4.1,351
"01b3d146-5f45-4ae7-96fe-4d534394a282",42.807,4.52,387
"01b3d146-5f45-4ae7-96fe-4d534394a282",53.54,4.52,387
"01b3d146-5f45-4ae7-96fe-4d534394a282",50.486,4.52,387
"01cbae62-d8df-4a29-bfdf-4ae786fa2763",50.36,5.26,450
"01cbae62-d8df-4a29-bfdf-4ae786fa2763",49.435,5.26,450
"01cbae62-d8df-4a29-bfdf-4ae786fa2763",50.184,5.26,450
"021efb75-51bd-4ee2-a060-5d7ac682bbd6",45.533,4.52,387
"021efb75-51bd-4ee2-a060-5d7ac682bbd6",40.509,4.52,387
"021efb75-51bd-4ee2-a060-5d7ac682bbd6",48.098,4.52,387
"022c590c-e20d-4306-9f8a-f9297ed2cc55",37.907,4.52,387
"022c590c-e20d-4306-9f8a-f9297ed2cc55",37.049,4.52,387
"022c590c-e20d-4306-9f8a-f9297ed2cc55",38.83,4.52,387
"02692ad0-1c40-40f1-ae72-d573454fbd0d",56.303,3.05,261
"02692ad0-1c40-40f1-ae72-d573454fbd0d",47.79,3.05,261
"02692ad0-1c40-40f1-ae72-d573454fbd0d",53.195,3.05,261
"02a804f5-e7fb-428d-b173-9a487ddde6eb",53.272,5.57,477
"02a804f5-e7fb-428d-b173-9a487ddde6eb",47.944,5.57,477
"02a804f5-e7fb-428d-b173-9a487ddde6eb",41.213,5.57,477
"02e456bc-ef1c-4008-8275-cbd53973bf0a",55.134,4.21,360
"02e456bc-ef1c-4008-8275-cbd53973bf0a",53.252,4.21,360
"02e456bc-ef1c-4008-8275-cbd53973bf0a",53.315,4.21,360
"034701fb-6396-495f-8a76-59abde8165d9",40.412,3.79,324
"034701fb-6396-495f-8a76-59abde8165d9",25.693,3.79,324
"034701fb-6396-495f-8a76-59abde8165d9",26.163,3.79,324
"03575ab5-3745-4a56-8e63-55e73d66e86e",56.989,4.52,387
"03575ab5-3745-4a56-8e63-55e73d66e86e",47.299,4.52,387
"03575ab5-3745-4a56-8e63-55e73d66e86e",45.533,4.52,387
"037e7733-261b-4dd1-bd25-f3ba06021296",46.871,5.15,441
"037e7733-261b-4dd1-bd25-f3ba06021296",44.053,5.15,441
"037e7733-261b-4dd1-bd25-f3ba06021296",43.676,5.15,441
"039dab7e-5fec-4949-8752-834e0caefb8a",42.57,3.68,315
"039dab7e-5fec-4949-8752-834e0caefb8a",29.546,3.68,315
"039dab7e-5fec-4949-8752-834e0caefb8a",34.54,3.68,315
"0437b84a-6cce-49d0-aefc-f779aeb093bb",58.028,3.26,279
"0437b84a-6cce-49d0-aefc-f779aeb093bb",57.48,3.26,279
"0437b84a-6cce-49d0-aefc-f779aeb093bb",60.02,3.26,279
"0494a9a4-3556-4089-acaa-0a7c40b45743",43.335,4.42,378
"0494a9a4-3556-4089-acaa-0a7c40b45743",43.314,4.42,378
"0494a9a4-3556-4089-acaa-0a7c40b45743",40.921,4.42,378
"04b2fc40-4aa0-464e-8833-b1a3d73e977e",52.051,4.73,405
"04b2fc40-4aa0-464e-8833-b1a3d73e977e",37.723,4.73,405
"04b2fc40-4aa0-464e-8833-b1a3d73e977e",55.228,4.73,405
"05b8d306-41c7-4b3b-b310-691d5fc50afd",49.966,4,342
"05b8d306-41c7-4b3b-b310-691d5fc50afd",48.305,4,342
"05b8d306-41c7-4b3b-b310-691d5fc50afd",47.768,4,342
"05ef0505-fbaf-495e-a248-47070cd2c7f7",51.369,4.52,387
"05ef0505-fbaf-495e-a248-47070cd2c7f7",49.478,4.52,387
"05ef0505-fbaf-495e-a248-47070cd2c7f7",50.516,4.52,387
"06607854-ae72-48d0-b1f5-0ac1202a1db3",43.745,4,342
"06607854-ae72-48d0-b1f5-0ac1202a1db3",43.961,4,342
"06607854-ae72-48d0-b1f5-0ac1202a1db3",39.223,4,342
"067bbad0-c503-41a0-90bf-85710464f848",39.367,3.68,315
"067bbad0-c503-41a0-90bf-85710464f848",38.246,3.68,315
"067bbad0-c503-41a0-90bf-85710464f848",40.044,3.68,315
"0696985b-a2dc-48ed-8600-0ce50799317c",52.873,4.73,405
"0696985b-a2dc-48ed-8600-0ce50799317c",55.283,4.73,405
"0696985b-a2dc-48ed-8600-0ce50799317c",55.469,4.73,405
"06a724c7-3ea0-4c65-ba60-b718f19de8e7",62.003,5.47,468
"06a724c7-3ea0-4c65-ba60-b718f19de8e7",60.764,5.47,468
"06a724c7-3ea0-4c65-ba60-b718f19de8e7",58.809,5.47,468
"06d015ea-e3d2-4efe-934d-c4cd341e88c0",50.892,4.42,378
"06d015ea-e3d2-4efe-934d-c4cd341e88c0",43.706,4.42,378
"06d015ea-e3d2-4efe-934d-c4cd341e88c0",50.551,4.42,378
"06d1c356-9179-4f98-ad86-ca49c372fc14",46.267,5.26,450
"06d1c356-9179-4f98-ad86-ca49c372fc14",45.059,5.26,450
"06d1c356-9179-4f98-ad86-ca49c372fc14",42.215,5.26,450
"07254dad-eff8-4643-8a3d-4076e239be99",49.803,4.52,387
"07254dad-eff8-4643-8a3d-4076e239be99",50.503,4.52,387
"07254dad-eff8-4643-8a3d-4076e239be99",57.609,4.52,387
"0794b01b-f2a0-4bcb-b117-7b5ef2e7c332",36.889,5.05,432
"0794b01b-f2a0-4bcb-b117-7b5ef2e7c332",43.537,5.05,432
"0794b01b-f2a0-4bcb-b117-7b5ef2e7c332",37.265,5.05,432
"07aa48d0-1a0c-4864-88f8-9fa308d385e8",53.067,4.42,378
"07aa48d0-1a0c-4864-88f8-9fa308d385e8",59.005,4.42,378
"07aa48d0-1a0c-4864-88f8-9fa308d385e8",58.999,4.42,378
"07c2138e-3bbc-4d8c-bc28-fc925b87645c",51.74,3.79,324
"07c2138e-3bbc-4d8c-bc28-fc925b87645c",46.469,3.79,324
"07c2138e-3bbc-4d8c-bc28-fc925b87645c",57.186,3.79,324
"07cfdbd7-0ba7-470a-90dc-65aba5a57a8e",47.823,4.42,378
"07cfdbd7-0ba7-470a-90dc-65aba5a57a8e",49.479,4.42,378
"07cfdbd7-0ba7-470a-90dc-65aba5a57a8e",63.018,4.42,378
"080a4934-5c51-4bbb-b163-9be970c51637",43.143,4.52,387
"080a4934-5c51-4bbb-b163-9be970c51637",45.727,4.52,387
"080a4934-5c51-4bbb-b163-9be970c51637",35.049,4.52,387
"080f37b9-f474-4556-a4d2-2d5719778820",45.663,5.05,432
"080f37b9-f474-4556-a4d2-2d5719778820",45.48,5.05,432
"080f37b9-f474-4556-a4d2-2d5719778820",44.526,5.05,432
"08705391-c843-4693-96f4-401402dbb4be",43.789,5.15,441
"08705391-c843-4693-96f4-401402dbb4be",40.744,5.15,441
"08705391-c843-4693-96f4-401402dbb4be",41.775,5.15,441
"08ffae56-d618-483f-8f16-dead02d80f07",33.843,3.57,306
"08ffae56-d618-483f-8f16-dead02d80f07",50.916,3.57,306
"08ffae56-d618-483f-8f16-dead02d80f07",51.447,3.57,306
"092195f3-22b8-48f2-85ba-a90b891f6f73",45.354,4.1,351
"092195f3-22b8-48f2-85ba-a90b891f6f73",42.266,4.1,351
"092195f3-22b8-48f2-85ba-a90b891f6f73",42.581,4.1,351
"09b56d37-68fa-4382-a00a-408760747423",57.33,4.1,351
"09b56d37-68fa-4382-a00a-408760747423",54.681,4.1,351
"09b56d37-68fa-4382-a00a-408760747423",59.986,4.1,351
"09cec982-ccf5-4fb8-a4e3-5d4a0946948d",56.352,4.67,794.39
"09cec982-ccf5-4fb8-a4e3-5d4a0946948d",55.343,4.67,794.39
"09cec982-ccf5-4fb8-a4e3-5d4a0946948d",59.474,4.67,794.39
"09e769c6-bdfb-4621-a0b4-9ea625793eb5",62.946,5.68,486
"09e769c6-bdfb-4621-a0b4-9ea625793eb5",63.427,5.68,486
"09e769c6-bdfb-4621-a0b4-9ea625793eb5",62.829,5.68,486
"09fa4d66-b626-4059-bd1d-a0fdf7601b52",45.315,4.52,387
"09fa4d66-b626-4059-bd1d-a0fdf7601b52",62.392,4.52,387
"09fa4d66-b626-4059-bd1d-a0fdf7601b52",39.52,4.52,387
"0a7c05e5-ed35-4b73-9044-cac7ae515463",42.023,3.36,288
"0a7c05e5-ed35-4b73-9044-cac7ae515463",39.179,3.36,288
"0a7c05e5-ed35-4b73-9044-cac7ae515463",44.174,3.36,288
"0a804ec7-a683-4781-9ca9-f648cd40551e",59.212,4.42,378
"0a804ec7-a683-4781-9ca9-f648cd40551e",63.822,4.42,378
"0a804ec7-a683-4781-9ca9-f648cd40551e",63.426,4.42,378
"0ab91ab7-21ca-4576-84b4-b53640915b4f",59.296,4.73,405
"0ab91ab7-21ca-4576-84b4-b53640915b4f",60.462,4.73,405
"0ab91ab7-21ca-4576-84b4-b53640915b4f",51.901,4.73,405
"0b0f6107-340b-4e59-adcc-80b5518789e8",38.926,5.26,450
"0b0f6107-340b-4e59-adcc-80b5518789e8",37.41,5.26,450
"0b0f6107-340b-4e59-adcc-80b5518789e8",49.998,5.26,450
"0b10f030-8a00-42c4-b8bf-dc40b4849860",36.214,3.57,306
"0b10f030-8a00-42c4-b8bf-dc40b4849860",25.011,3.57,306
"0b10f030-8a00-42c4-b8bf-dc40b4849860",43.402,3.57,306
"0b72e750-0a1c-43ad-af64-863cc5b2d2ec",54.206,4.1,351
"0b72e750-0a1c-43ad-af64-863cc5b2d2ec",50.635,4.1,351
"0b72e750-0a1c-43ad-af64-863cc5b2d2ec",52.091,4.1,351
"0bb4a66e-6d8b-485f-8f4d-13c2c323f93e",64.413,5.89,504
"0bb4a66e-6d8b-485f-8f4d-13c2c323f93e",50.068,5.89,504
"0bb4a66e-6d8b-485f-8f4d-13c2c323f93e",41.36,5.89,504
"0bd608d7-e2df-4e29-93e1-7784c9d55779",38.202,4.52,387
"0bd608d7-e2df-4e29-93e1-7784c9d55779",38.916,4.52,387
"0bd608d7-e2df-4e29-93e1-7784c9d55779",44.412,4.52,387
"0c0928b2-823d-4535-92ba-1f72b7f3409a",28.024,10.51,900
"0c0928b2-823d-4535-92ba-1f72b7f3409a",26.92,10.51,900
"0c0928b2-823d-4535-92ba-1f72b7f3409a",27.491,10.51,900
"0c15e240-1c63-4dac-bb98-d8ea190089e6",50.881,4.52,387
"0c15e240-1c63-4dac-bb98-d8ea190089e6",48.252,4.52,387
"0c15e240-1c63-4dac-bb98-d8ea190089e6",47.533,4.52,387
"0c26398c-46d9-481f-a268-46ecd712b15a",40.826,3.57,306
"0c26398c-46d9-481f-a268-46ecd712b15a",38.615,3.57,306
"0c26398c-46d9-481f-a268-46ecd712b15a",37.509,3.57,306
"0c6282cf-b247-47de-aecd-a901400fac63",55.076,3.68,315
"0c6282cf-b247-47de-aecd-a901400fac63",42.6,3.68,315
"0c6282cf-b247-47de-aecd-a901400fac63",62.541,3.68,315
"0c68d796-315e-4e32-959e-13bbdbb243d7",59.23,4,342
"0c68d796-315e-4e32-959e-13bbdbb243d7",67.793,4,342
"0c68d796-315e-4e32-959e-13bbdbb243d7",62.188,4,342
"0cba6262-5da3-4343-bb62-7faef72ea647",33.129,8.41,720
"0cba6262-5da3-4343-bb62-7faef72ea647",29.759,8.41,720
"0cba6262-5da3-4343-bb62-7faef72ea647",36.865,8.41,720
"0ce863ed-ae80-4601-864f-0f527ba461e6",58.099,3.79,324
"0ce863ed-ae80-4601-864f-0f527ba461e6",54.721,3.79,324
"0ce863ed-ae80-4601-864f-0f527ba461e6",54.396,3.79,324
"0d8ebb91-1b54-41ee-8972-c917959d48a6",47.761,4.1,351
"0d8ebb91-1b54-41ee-8972-c917959d48a6",55.384,4.1,351
"0d8ebb91-1b54-41ee-8972-c917959d48a6",44.758,4.1,351
"0de5fd15-937c-40e0-af54-72dd76786a3b",61.937,4.52,387
"0de5fd15-937c-40e0-af54-72dd76786a3b",59.775,4.52,387
"0de5fd15-937c-40e0-af54-72dd76786a3b",58.095,4.52,387
"0e1d369a-c75d-4309-b7fc-f1f95fd9bd30",45.159,5.26,450
"0e1d369a-c75d-4309-b7fc-f1f95fd9bd30",44.767,5.26,450
"0e1d369a-c75d-4309-b7fc-f1f95fd9bd30",42.848,5.26,450
"0e1d513b-d2c4-4375-bf83-2414cf6d9cc2",35.709,3.68,315
"0e1d513b-d2c4-4375-bf83-2414cf6d9cc2",34.977,3.68,315
"0e1d513b-d2c4-4375-bf83-2414cf6d9cc2",36.656,3.68,315
"0ec3e365-26d1-47cd-8d44-6b29e3641595",49.273,4.52,387
"0ec3e365-26d1-47cd-8d44-6b29e3641595",47.091,4.52,387
"0ec3e365-26d1-47cd-8d44-6b29e3641595",48.301,4.52,387
"0ee32283-552e-494e-afa0-2c91e47c195e",43.649,5.05,432
"0ee32283-552e-494e-afa0-2c91e47c195e",41.384,5.05,432
"0ee32283-552e-494e-afa0-2c91e47c195e",42.211,5.05,432
"0ee575a4-7bcb-41d7-b8dd-37b729135b5b",45.853,5.15,441
"0ee575a4-7bcb-41d7-b8dd-37b729135b5b",45.863,5.15,441
"0ee575a4-7bcb-41d7-b8dd-37b729135b5b",47.728,5.15,441
"0f085aa6-2b74-4caf-8b70-fc785a63d9f6",49.335,3.89,333
"0f085aa6-2b74-4caf-8b70-fc785a63d9f6",48.191,3.89,333
"0f085aa6-2b74-4caf-8b70-fc785a63d9f6",48.279,3.89,333
"0f50b07b-5744-41a0-9b4c-5f60c05a5ae8",34.249,3.68,315
"0f50b07b-5744-41a0-9b4c-5f60c05a5ae8",54.142,3.68,315
"0f50b07b-5744-41a0-9b4c-5f60c05a5ae8",25.889,3.68,315
"0face946-ac26-4480-9a54-b082b6c228f2",62.478,3.79,324
"0face946-ac26-4480-9a54-b082b6c228f2",57.328,3.79,324
"0face946-ac26-4480-9a54-b082b6c228f2",53.95,3.79,324
"0fe1ffce-bc8d-440c-b34e-e39987220e1f",58.963,4.52,387
"0fe1ffce-bc8d-440c-b34e-e39987220e1f",54.637,4.52,387
"0fe1ffce-bc8d-440c-b34e-e39987220e1f",61.6,4.52,387
"10099bc7-6db4-445e-98d7-df978bdd138d",27.944,4.52,387
"10099bc7-6db4-445e-98d7-df978bdd138d",47.175,4.52,387
"10099bc7-6db4-445e-98d7-df978bdd138d",58.352,4.52,387
"102858b9-af6b-4f2e-80ee-8955076d4270",39.43,4.52,387
"102858b9-af6b-4f2e-80ee-8955076d4270",39.287,4.52,387
"102858b9-af6b-4f2e-80ee-8955076d4270",41.348,4.52,387
"107b6229-4c5c-41dc-93c5-969e5fe740b2",35.296,4.1,351
"107b6229-4c5c-41dc-93c5-969e5fe740b2",62.495,4.1,351
"107b6229-4c5c-41dc-93c5-969e5fe740b2",61.821,4.1,351
"1099fce6-0a1d-45fd-a1ea-ced93e18bf8c",33.602,4.21,360
"1099fce6-0a1d-45fd-a1ea-ced93e18bf8c",31.198,4.21,360
"1099fce6-0a1d-45fd-a1ea-ced93e18bf8c",27.337,4.21,360
"10cc0c1b-8bba-4cba-8660-475874d0ac3b",47.767,5.26,450
"10cc0c1b-8bba-4cba-8660-475874d0ac3b",47.542,5.26,450
"10cc0c1b-8bba-4cba-8660-475874d0ac3b",50.706,5.26,450
"1156243b-3b73-409b-96bb-b7eabd4fbdcc",42.027,4.1,351
"1156243b-3b73-409b-96bb-b7eabd4fbdcc",51.091,4.1,351
"1156243b-3b73-409b-96bb-b7eabd4fbdcc",49.567,4.1,351
"11cfb1ef-fa38-4204-aa7b-caa6b2ef9460",40.823,3.68,315
"11cfb1ef-fa38-4204-aa7b-caa6b2ef9460",51.926,3.68,315
"11cfb1ef-fa38-4204-aa7b-caa6b2ef9460",50.262,3.68,315
"11dc1a68-a876-479d-b222-04d6b99d9389",49.077,4.52,387
"11dc1a68-a876-479d-b222-04d6b99d9389",43.85,4.52,387
"11dc1a68-a876-479d-b222-04d6b99d9389",44.692,4.52,387
"12102bf8-b872-4fc7-817d-e9dd60f849e7",50.403,4.42,378
"12102bf8-b872-4fc7-817d-e9dd60f849e7",48.716,4.42,378
"12102bf8-b872-4fc7-817d-e9dd60f849e7",49.084,4.42,378
"12600c1f-1fcb-468c-a501-538aeea3de32",35.826,4.63,396
"12600c1f-1fcb-468c-a501-538aeea3de32",41.465,4.63,396
"12600c1f-1fcb-468c-a501-538aeea3de32",41.572,4.63,396
"1269877d-9c2d-482e-b3d8-385fa4574fbd",45.784,4,342
"1269877d-9c2d-482e-b3d8-385fa4574fbd",56.699,4,342
"1269877d-9c2d-482e-b3d8-385fa4574fbd",57.466,4,342
"12fbaad2-e386-4b2e-bae8-95971dbceb0b",42.673,4.42,378
"12fbaad2-e386-4b2e-bae8-95971dbceb0b",38.627,4.42,378
"12fbaad2-e386-4b2e-bae8-95971dbceb0b",41.022,4.42,378
"1313e81d-76e4-4ceb-af6e-bdcc1c0074e4",40.635,3.26,279
"1313e81d-76e4-4ceb-af6e-bdcc1c0074e4",60.952,3.26,279
"1313e81d-76e4-4ceb-af6e-bdcc1c0074e4",57.956,3.26,279
"1395e9dc-26ee-4041-8d67-969a80f8b18a",41.357,3.15,270
"1395e9dc-26ee-4041-8d67-969a80f8b18a",65.298,3.15,270
"1395e9dc-26ee-4041-8d67-969a80f8b18a",57.829,3.15,270
"139fc84a-4dc8-4b73-b1c7-a9879b2bff76",49.371,4.67,794.39
"139fc84a-4dc8-4b73-b1c7-a9879b2bff76",47.947,4.67,794.39
"139fc84a-4dc8-4b73-b1c7-a9879b2bff76",43.245,4.67,794.39
"13d8643f-2e9d-4592-9a8b-2b1e03c5809f",56.179,3.47,297
"13d8643f-2e9d-4592-9a8b-2b1e03c5809f",59.605,3.47,297
"13d8643f-2e9d-4592-9a8b-2b1e03c5809f",57.392,3.47,297
"13d9eb46-e2b5-4bba-99d1-545d716c949f",45.814,3.68,315
"13d9eb46-e2b5-4bba-99d1-545d716c949f",35.283,3.68,315
"13d9eb46-e2b5-4bba-99d1-545d716c949f",40.82,3.68,315
"13f75125-1262-491e-91b0-14e862e5c353",43.868,3.15,270
"13f75125-1262-491e-91b0-14e862e5c353",43.246,3.15,270
"13f75125-1262-491e-91b0-14e862e5c353",24.128,3.15,270
"1420e81d-23e2-4a1b-a869-7758b44e4c67",51.723,4.52,387
"1420e81d-23e2-4a1b-a869-7758b44e4c67",51.157,4.52,387
"1420e81d-23e2-4a1b-a869-7758b44e4c67",51.422,4.52,387
"14a1bc40-8e42-45e0-9104-47d865bcef1d",47.069,3.47,297
"14a1bc40-8e42-45e0-9104-47d865bcef1d",50.366,3.47,297
"14a1bc40-8e42-45e0-9104-47d865bcef1d",49.456,3.47,297
"14a9bb0f-370f-4510-a0da-032ed7e6f91d",6.944,10.51,900
"14a9bb0f-370f-4510-a0da-032ed7e6f91d",8.738,10.51,900
"14a9bb0f-370f-4510-a0da-032ed7e6f91d",1.527,10.51,900
"14dc808b-e947-4841-90d6-802716d4e70d",46.775,2.84,243
"14dc808b-e947-4841-90d6-802716d4e70d",47.708,2.84,243
"14dc808b-e947-4841-90d6-802716d4e70d",45.059,2.84,243
"14e076d7-3518-41e3-8e1f-68f3e1211edf",61.019,5.15,441
"14e076d7-3518-41e3-8e1f-68f3e1211edf",41.558,5.15,441
"14e076d7-3518-41e3-8e1f-68f3e1211edf",66.702,5.15,441
"14fb0d85-a3d3-49bf-9775-ae737be5f5e0",30.755,5.26,450
"14fb0d85-a3d3-49bf-9775-ae737be5f5e0",36.154,5.26,450
"14fb0d85-a3d3-49bf-9775-ae737be5f5e0",43.984,5.26,450
"15838af6-6a7c-45b9-9b9d-f6ae74f4302e",52.978,4.52,387
"15838af6-6a7c-45b9-9b9d-f6ae74f4302e",54.139,4.52,387
"15838af6-6a7c-45b9-9b9d-f6ae74f4302e",54.419,4.52,387
"15c03128-3d0a-4c54-8e24-1f5da32dba43",51.74,4.1,351
"15c03128-3d0a-4c54-8e24-1f5da32dba43",68.881,4.1,351
"15c03128-3d0a-4c54-8e24-1f5da32dba43",40.41,4.1,351
"15f2b469-b375-4e89-bee4-69b8a07cf584",39.738,4.31,369
"15f2b469-b375-4e89-bee4-69b8a07cf584",49.578,4.31,369
"15f2b469-b375-4e89-bee4-69b8a07cf584",60.331,4.31,369
"15f45b7c-5d00-46a5-afde-d7be1ebce600",48.973,4.1,351
"15f45b7c-5d00-46a5-afde-d7be1ebce600",52.769,4.1,351
"15f45b7c-5d00-46a5-afde-d7be1ebce600",53.862,4.1,351
"160364ff-77b9-427d-8183-fe55c0123d71",62.916,6.1,522
"160364ff-77b9-427d-8183-fe55c0123d71",60.523,6.1,522
"160364ff-77b9-427d-8183-fe55c0123d71",63.877,6.1,522
"1620c006-9090-4d0f-b504-0a24920f041d",37.54,5.15,441
"1620c006-9090-4d0f-b504-0a24920f041d",37.571,5.15,441
"1620c006-9090-4d0f-b504-0a24920f041d",38.253,5.15,441
"1644440e-4b91-4e90-8df5-46db6bbe97ca",35.308,5.68,486
"1644440e-4b91-4e90-8df5-46db6bbe97ca",26.514,5.68,486
"1644440e-4b91-4e90-8df5-46db6bbe97ca",26.7,5.68,486
"16d97004-7155-4b04-a8be-ed6008f6eaf6",54.235,3.68,315
"16d97004-7155-4b04-a8be-ed6008f6eaf6",55.887,3.68,315
"16d97004-7155-4b04-a8be-ed6008f6eaf6",56.593,3.68,315
