"uuid","viewDistance","session"
"005db471-8ddd-4358-b359-1863869a01eb",51.278,2
"005db471-8ddd-4358-b359-1863869a01eb",54.593,3
"005db471-8ddd-4358-b359-1863869a01eb",53.929,1
"007bbc8a-c4c9-4f0c-aef9-4b9e89f3ffee",39.512,2
"007bbc8a-c4c9-4f0c-aef9-4b9e89f3ffee",43.477,3
"007bbc8a-c4c9-4f0c-aef9-4b9e89f3ffee",40.348,1
"00a013b3-9e17-4a7c-bbfb-281de9eec54f",49.723,3
"00a013b3-9e17-4a7c-bbfb-281de9eec54f",49.783,2
"00a013b3-9e17-4a7c-bbfb-281de9eec54f",50.212,1
"00f97103-6435-4a63-84a7-74bbf3f983ae",48.956,2
"00f97103-6435-4a63-84a7-74bbf3f983ae",50.247,3
"00f97103-6435-4a63-84a7-74bbf3f983ae",49.765,1
"01b3d146-5f45-4ae7-96fe-4d534394a282",50.486,3
"01b3d146-5f45-4ae7-96fe-4d534394a282",53.54,2
"01b3d146-5f45-4ae7-96fe-4d534394a282",42.807,1
"021efb75-51bd-4ee2-a060-5d7ac682bbd6",40.509,2
"021efb75-51bd-4ee2-a060-5d7ac682bbd6",48.098,3
"021efb75-51bd-4ee2-a060-5d7ac682bbd6",45.533,1
"022c590c-e20d-4306-9f8a-f9297ed2cc55",37.049,3
"022c590c-e20d-4306-9f8a-f9297ed2cc55",37.907,2
"022c590c-e20d-4306-9f8a-f9297ed2cc55",38.83,1
"02a804f5-e7fb-428d-b173-9a487ddde6eb",41.213,3
"02a804f5-e7fb-428d-b173-9a487ddde6eb",47.944,2
"02a804f5-e7fb-428d-b173-9a487ddde6eb",53.272,1
"034701fb-6396-495f-8a76-59abde8165d9",25.693,2
"034701fb-6396-495f-8a76-59abde8165d9",26.163,3
"034701fb-6396-495f-8a76-59abde8165d9",40.412,1
"03575ab5-3745-4a56-8e63-55e73d66e86e",45.533,3
"03575ab5-3745-4a56-8e63-55e73d66e86e",47.299,2
"03575ab5-3745-4a56-8e63-55e73d66e86e",56.989,1
"037e7733-261b-4dd1-bd25-f3ba06021296",43.676,3
"037e7733-261b-4dd1-bd25-f3ba06021296",44.053,2
"037e7733-261b-4dd1-bd25-f3ba06021296",46.871,1
"0437b84a-6cce-49d0-aefc-f779aeb093bb",58.028,3
"0437b84a-6cce-49d0-aefc-f779aeb093bb",60.02,2
"0437b84a-6cce-49d0-aefc-f779aeb093bb",57.48,1
"05ef0505-fbaf-495e-a248-47070cd2c7f7",49.478,2
"05ef0505-fbaf-495e-a248-47070cd2c7f7",50.516,3
"05ef0505-fbaf-495e-a248-47070cd2c7f7",51.369,1
"06607854-ae72-48d0-b1f5-0ac1202a1db3",39.223,3
"06607854-ae72-48d0-b1f5-0ac1202a1db3",43.961,2
"06607854-ae72-48d0-b1f5-0ac1202a1db3",43.745,1
"0696985b-a2dc-48ed-8600-0ce50799317c",55.283,2
"0696985b-a2dc-48ed-8600-0ce50799317c",55.469,3
"0696985b-a2dc-48ed-8600-0ce50799317c",52.873,1
"06a724c7-3ea0-4c65-ba60-b718f19de8e7",58.809,3
"06a724c7-3ea0-4c65-ba60-b718f19de8e7",60.764,2
"06a724c7-3ea0-4c65-ba60-b718f19de8e7",62.003,1
"06d1c356-9179-4f98-ad86-ca49c372fc14",42.215,3
"06d1c356-9179-4f98-ad86-ca49c372fc14",45.059,2
"06d1c356-9179-4f98-ad86-ca49c372fc14",46.267,1
"0794b01b-f2a0-4bcb-b117-7b5ef2e7c332",37.265,3
"0794b01b-f2a0-4bcb-b117-7b5ef2e7c332",43.537,2
"0794b01b-f2a0-4bcb-b117-7b5ef2e7c332",36.889,1
"07aa48d0-1a0c-4864-88f8-9fa308d385e8",58.999,3
"07aa48d0-1a0c-4864-88f8-9fa308d385e8",59.005,2
"07aa48d0-1a0c-4864-88f8-9fa308d385e8",53.067,1
"07cfdbd7-0ba7-470a-90dc-65aba5a57a8e",49.479,2
"07cfdbd7-0ba7-470a-90dc-65aba5a57a8e",63.018,3
"07cfdbd7-0ba7-470a-90dc-65aba5a57a8e",47.823,1
"080a4934-5c51-4bbb-b163-9be970c51637",35.049,3
"080a4934-5c51-4bbb-b163-9be970c51637",45.727,2
"080a4934-5c51-4bbb-b163-9be970c51637",43.143,1
"08705391-c843-4693-96f4-401402dbb4be",40.744,2
"08705391-c843-4693-96f4-401402dbb4be",41.775,3
"08705391-c843-4693-96f4-401402dbb4be",43.789,1
"08ffae56-d618-483f-8f16-dead02d80f07",50.916,2
"08ffae56-d618-483f-8f16-dead02d80f07",51.447,3
"08ffae56-d618-483f-8f16-dead02d80f07",33.843,1
"092195f3-22b8-48f2-85ba-a90b891f6f73",42.266,2
"092195f3-22b8-48f2-85ba-a90b891f6f73",42.581,3
"092195f3-22b8-48f2-85ba-a90b891f6f73",45.354,1
"0a7c05e5-ed35-4b73-9044-cac7ae515463",39.179,2
"0a7c05e5-ed35-4b73-9044-cac7ae515463",44.174,3
"0a7c05e5-ed35-4b73-9044-cac7ae515463",42.023,1
"0b10f030-8a00-42c4-b8bf-dc40b4849860",25.011,2
"0b10f030-8a00-42c4-b8bf-dc40b4849860",43.402,3
"0b10f030-8a00-42c4-b8bf-dc40b4849860",36.214,1
"0b72e750-0a1c-43ad-af64-863cc5b2d2ec",50.635,2
"0b72e750-0a1c-43ad-af64-863cc5b2d2ec",52.091,3
"0b72e750-0a1c-43ad-af64-863cc5b2d2ec",54.206,1
"0bb4a66e-6d8b-485f-8f4d-13c2c323f93e",41.36,3
"0bb4a66e-6d8b-485f-8f4d-13c2c323f93e",50.068,2
"0bb4a66e-6d8b-485f-8f4d-13c2c323f93e",64.413,1
"0bd608d7-e2df-4e29-93e1-7784c9d55779",38.202,2
"0bd608d7-e2df-4e29-93e1-7784c9d55779",38.916,3
"0bd608d7-e2df-4e29-93e1-7784c9d55779",44.412,1
"0c15e240-1c63-4dac-bb98-d8ea190089e6",47.533,3
"0c15e240-1c63-4dac-bb98-d8ea190089e6",48.252,2
"0c15e240-1c63-4dac-bb98-d8ea190089e6",50.881,1
"0c68d796-315e-4e32-959e-13bbdbb243d7",62.188,3
"0c68d796-315e-4e32-959e-13bbdbb243d7",67.793,2
"0c68d796-315e-4e32-959e-13bbdbb243d7",59.23,1
"0ce863ed-ae80-4601-864f-0f527ba461e6",54.396,3
"0ce863ed-ae80-4601-864f-0f527ba461e6",54.721,2
"0ce863ed-ae80-4601-864f-0f527ba461e6",58.099,1
"0d8ebb91-1b54-41ee-8972-c917959d48a6",44.758,3
"0d8ebb91-1b54-41ee-8972-c917959d48a6",55.384,2
"0d8ebb91-1b54-41ee-8972-c917959d48a6",47.761,1
"0de5fd15-937c-40e0-af54-72dd76786a3b",58.095,3
"0de5fd15-937c-40e0-af54-72dd76786a3b",59.775,2
"0de5fd15-937c-40e0-af54-72dd76786a3b",61.937,1
"0e1d513b-d2c4-4375-bf83-2414cf6d9cc2",34.977,2
"0e1d513b-d2c4-4375-bf83-2414cf6d9cc2",36.656,3
"0e1d513b-d2c4-4375-bf83-2414cf6d9cc2",35.709,1
"0ee575a4-7bcb-41d7-b8dd-37b729135b5b",45.863,2
"0ee575a4-7bcb-41d7-b8dd-37b729135b5b",47.728,3
"0ee575a4-7bcb-41d7-b8dd-37b729135b5b",45.853,1
"0f085aa6-2b74-4caf-8b70-fc785a63d9f6",48.191,2
"0f085aa6-2b74-4caf-8b70-fc785a63d9f6",48.279,3
"0f085aa6-2b74-4caf-8b70-fc785a63d9f6",49.335,1
"0f50b07b-5744-41a0-9b4c-5f60c05a5ae8",25.889,3
"0f50b07b-5744-41a0-9b4c-5f60c05a5ae8",54.142,2
"0f50b07b-5744-41a0-9b4c-5f60c05a5ae8",34.249,1
"0face946-ac26-4480-9a54-b082b6c228f2",53.95,3
"0face946-ac26-4480-9a54-b082b6c228f2",57.328,2
"0face946-ac26-4480-9a54-b082b6c228f2",62.478,1
"10099bc7-6db4-445e-98d7-df978bdd138d",47.175,2
"10099bc7-6db4-445e-98d7-df978bdd138d",58.352,3
"10099bc7-6db4-445e-98d7-df978bdd138d",27.944,1
"107b6229-4c5c-41dc-93c5-969e5fe740b2",61.821,3
"107b6229-4c5c-41dc-93c5-969e5fe740b2",62.495,2
"107b6229-4c5c-41dc-93c5-969e5fe740b2",35.296,1
"1156243b-3b73-409b-96bb-b7eabd4fbdcc",49.567,3
"1156243b-3b73-409b-96bb-b7eabd4fbdcc",51.091,2
"1156243b-3b73-409b-96bb-b7eabd4fbdcc",42.027,1
"11cfb1ef-fa38-4204-aa7b-caa6b2ef9460",50.262,3
"11cfb1ef-fa38-4204-aa7b-caa6b2ef9460",51.926,2
"11cfb1ef-fa38-4204-aa7b-caa6b2ef9460",40.823,1
"11dc1a68-a876-479d-b222-04d6b99d9389",43.85,2
"11dc1a68-a876-479d-b222-04d6b99d9389",44.692,3
"11dc1a68-a876-479d-b222-04d6b99d9389",49.077,1
"12600c1f-1fcb-468c-a501-538aeea3de32",41.465,2
"12600c1f-1fcb-468c-a501-538aeea3de32",41.572,3
"12600c1f-1fcb-468c-a501-538aeea3de32",35.826,1
"1269877d-9c2d-482e-b3d8-385fa4574fbd",56.699,2
"1269877d-9c2d-482e-b3d8-385fa4574fbd",57.466,3
"1269877d-9c2d-482e-b3d8-385fa4574fbd",45.784,1
"12fbaad2-e386-4b2e-bae8-95971dbceb0b",38.627,2
"12fbaad2-e386-4b2e-bae8-95971dbceb0b",41.022,3
"12fbaad2-e386-4b2e-bae8-95971dbceb0b",42.673,1
"1313e81d-76e4-4ceb-af6e-bdcc1c0074e4",57.956,3
