sub,distance,Abs_Error,Blind_Spot,Blind_Spot_degree
1,53.807,0.47,0.238,13.609
2,56.016,2.68,0.247,14.146
3,56.264,2.92,0.248,14.206
4,47.154,6.19,0.209,11.979
5,50.333,3.01,0.223,12.76
6,47.19,6.15,0.209,11.987
7,51.705,1.64,0.229,13.097
8,53.762,0.42,0.237,13.599
9,54.282,0.94,0.24,13.725
10,55.117,1.78,0.243,13.928
11,51.432,1.91,0.227,13.03
12,49.796,3.54,0.22,12.629
13,55.434,2.09,0.244,14.005
14,52.319,1.02,0.231,13.247
15,58.796,5.46,0.259,14.818
16,54.964,1.62,0.242,13.891
17,52.431,0.91,0.232,13.274
18,52.067,1.27,0.23,13.185
19,54.072,0.73,0.239,13.674
