subid,eccentricity,wild_1,wild_2,lab_1,lab_2,wild_average,lab_average
1,6,1.63,1.7,1.7,1.5,1.665,1.6
2,4,1,1,1.1,1,1,1.05
3,4,1.6,1.81,1.69,1.1,1.705,1.395
4,6,1.79,1.79,2.62,1.06,1.79,1.84
5,4,1.27,1.21,1.75,1.58,1.24,1.665
6,4,1,1.18,1.3,1,1.09,1.15
7,6,2.58,2.32,1.58,2.73,2.45,2.155
8,4,1,1,1.5,1,1,1.25
9,4,1.18,1,1.3,1,1.09,1.15
10,4,1.15,1.18,1.18,1.1,1.165,1.14
11,6,1,1.81,1.77,1.46,1.405,1.615
12,4,1,1.07,1.07,1.69,1.035,1.38
13,4,1,1,1.05,1.27,1,1.16
14,6,1.56,1.65,1.73,1.57,1.605,1.65
15,4,1.43,1.43,1.27,1.47,1.43,1.37
16,4,1.3,1.39,1,1.39,1.345,1.195
17,6,1.95,1.24,1.3,2.66,1.595,1.98
18,6,2.05,1.98,1.85,2.13,2.015,1.99
